Club Name,District,Project Category,Project Title,Project Description
Vinton,Nebraska-Iowa,Holidays,Easter Egg Hunt,"""Put out over 3500 plastic Easter Eggs out in Kiwanis Park for Kids ages 1-12.    The eggs are filled with candy and is done by our local Senior Citizen home."""
Lloydminster,Western Canada,Holidays,Festival of Lights,"""Transform our Kiwanis Park during the month of December into a Festival of Lights.  Thousands of residents from Lloydminster and surrounding communities come to enjoy the magic we have created.  This event offers great photo ops.  Very positive experience for all who attend."""
St. Georges-Buff Bay,Eastern Canada and the Caribbean,Holidays,Christmas Tree Lighting & Children Treat,"""Each year, the Kiwanis Club of St. Georges, Buff Bay hosts a Christmas Tree Lighting Ceremony & Children Treat at the Buff Bay Courthouse in Buff Bay Portland. It is usually supported by the SLPs, local churches and community members."""
Stoughton,Wisconsin-Upper Michigan,Holidays,Santa’s Workshop,"""In conjunction with Stoughton’s “Victorian Weekend” we have a Santa’s Workshop.  We provide crafts, cookie decorating and have pictures with  Santa.  These pictures are sent back to the families following the event.  We serve approximately 100 children."""
West End Atlanta,Georgia,Holidays,Christmas Party,"""Annually the club hosts a Christmas party for underpriviledged youth in the southwest  Atalnta area.  Typically 35 - 50 children are provided food, drinks and are entertained with strorytelling and carols.  Each child receives 3 or 4 toys"""
Grand Island,Nebraska-Iowa,Holidays,Christmas Ornaments ,"""We highlight a business in town with a signature ornament that people have been collecting. """
Choctaw,Texas-Oklahoma,Holidays,Flags Across Choctaw,"""Show your patriotic pride in the USA by letting the Choctaw Kiwanis Club provide a flag service to your home.Five times a year we will assist you in displaying your patriotism by installing the flag system and service each holiday.We display the flags to our Choctaw subscribers o"""
Elizabethtown,Carolinas,Holidays,Christmas Party Boys and Girls Home,"""The Elizabethtown Kiwanis Club sponsors a shopping trip and Christmas dinner for the girls in the Kiwanis cabin at the Lake Waccamaw Boys and Girls Home.   The girls enjoy a shopping trip to a local store where they can pick out about $300 worth of gifts and then a great dinner."""
Salem,Capital,Holidays,City of Salem Christmas Parade,"""We organize the Annual City of Salem Christmas Parade, and use it as our main fund-raiser for our projects.  Held Annually on the 1st Friday of December each year, we have been assisting and now organizing the parade for over 40 years."""
Chadron,Rocky Mountain,Holidays,Trunk or Treat,"""Allowing safe trick or treating for childing by allowing local businesses to decorate vehicles in a 2 block blocked off street each year the Friday before Hallowwen"""
Elizabethtown,Pennsylvania,Holidays,Breakfast with Santa,"""Our club provided breakfast for families from a few local nursery schools, childcare centers. We have Santa give each child a gift, and we also provide each child with a book."""
Lockport,New York,Holidays,Lockport Children's Christmas Party,"""The Lockport Kiwanis Club hosts an annual Christmas party for local low-income/disadvantaged children, and held at a bowling alley. The children bowl, have pizza and snacks, sing karaoke, and play games. The highlight is a personalized gift toy given to each child by Santa."""
Spring Lake/Cumberland County,Carolinas,Holidays,Angel Tree,"""Providing toys to families in need during the Christmas holiday. """
Columbia Northeast,Carolinas,Holidays,Stuff-A-Bus,"""Providing new bicycles and toys for the Salvation Army and local CBS affiliate holiday campaign.  """
Petersburg,Indiana,Holidays,Kiwanis Kids Christmas,"""We buy 80 kids clothes(inside out) for Christmas and have pizza party with Santa"""
Citronelle,Alabama,Holidays,Pancake Day,"""On the first Saturday of December, we have our annual Pancake Breakfast Day. It coincides with our City's Christmas parade which brings lots of people into town. It has been a tradition for over 60 years and everyone looks forward to it."""
Danville,Kentucky-Tennessee,Holidays,Kiwanis Kids Christmas Program,"""Each child receives several individually wrapped gifts of new toys, a coat, shoes, three outfits, socks, underwear, and a stocking filled with treats. At the party children will have a special treat with Santa and hear a Christmas story."""
Foley,Alabama,Holidays,Annual Christmas Parade,"""Sponsor and promote annual parade in the city of Foley"""
Ferndale,Pacific Northwest,Holidays,Flags along main street during patriotic holidays,"""flags displayed along main street during patriotic holidays"""
Dawson County,Georgia,Holidays,Rainbow Children's Home Christmas in July ,"""Every July, our club sponsors a Christmas in July party for a local girls home. The girls range in age from 13 to 18. They have been taken out of their homes due to family issues & are not able to enter into foster care. We provide dinner, games & presents but mainly attention."""
Thorlakshofn-Olver,Iceland-Faroes,Holidays,Jólaskókassinn,"""Jólaskókassi sem er seldur til foreldra sem inniheldur 13 gjafir fyrir jólasveinn til að setja í skóinn hjá börnunum"""
Madison,Minnesota-Dakotas,Holidays,Kiwanis Gifts for Kids,"""Each year our club provides Christmas gifts for children in need in Lac qui Parle County; funds raised are used to shop for gifts on the childrens' wish lists.  A specific day is designated for the parents/guardians to pick up the gifts to be given to the children at Christm"""
Wisconsin Dells,Wisconsin-Upper Michigan,Holidays,Christmas Basket Project,"""Food baskets to families in need and fruit baskets to Sr Citizens"""
Granville,Ohio,Holidays,Granville Kiwanis July 4th Celebration,"""July 4th Celebration including festival, parade, fireworks, community fundraiser event"""
Greater Ouachita,Louisiana-Mississippi-West Tennessee,Holidays,Twin City Christmas Parade,"""Parade for our community the first Saturday of December."""
Morgan Hill,California-Nevada-Hawaii,Holidays,Morgan Hill Holiday Lights Parade,"""Our club runs the annual Holiday Lights parade in downtown Morgan Hill providing holiday cheer to thousands of children of all ages with Marching Bands, Fire Engines, Youth Groups, and Floats, ending with Santa's Magic Ship, with children visiting Santa following the parade."""
East Hampton,New York,Holidays,Annual Kiwanis Halloween Family Fun Day ,"""An annual community give back of a day of affordable family fun!  One suggested admission price of $5 includes everything - Petting Zoo, Pony Rides, Juggler, Face Painting, Inflatable games and slides, Musician, Costume contest and Prizes, crafts, popcorn, cotton candy and more! """
El Dorado,Kansas,Holidays,Flag Project,"""Put up flags in 90 yards in El Dorado for 5 holiday"""
"Northridge, Dayton",Ohio,Holidays,Northridge Community Christmas Basket ,"""each year we supply 75 families in the Northridge School District with a Holiday Basket of food, a gift card for the purchase of  a Main Dish and we partner with the Key Club to provide gifts for all children in the homes as well. """
Union,Missouri-Arkansas,Holidays,Angel Tree Project,"""Kiwanis Club, Community Leaders, and caring individuals team up to provide Xmas gifts, hams, and holiday cheer to families in need."""
Sunbury,Pennsylvania,Holidays,Breakfast with Santa ,"""We host a breakfast with santa every december """
New Iberia-Cajun,Louisiana-Mississippi-West Tennessee,Holidays,Christmas Wishes,"""Annual Christmas event for Magnolia Elementary Pre-K and Special Needs students. Christmas Carols are song, a story is read, Santa visits, balloon animals and a gift presentation to all students in attendance."""
Greater Napa,California-Nevada-Hawaii,Holidays,Shop with a Cop,"""Partnering a child in need with a police officer to do holiday shopping for their child and their family."""
Gering,Rocky Mountain,Holidays,Gering Kiwanis Easter Egg Hunt,"""Our cub provides candy.  Gering Builder's Club fills the plastic eggs, they provide a member to wear the Bunny suit.  We drive the stakes, Kiwanis,Builders Club and Key Club toss out the eggs.  We watch as the children have fun picking up eggs."""
Palatine,Illinois-Eastern Iowa,Holidays,Annual Christmas Holiday Program,"""We hold a Christmas party every year for between 150 and 175 local underprivileged children and their families.  The party features pizza, ice cream & cake, crafts and games.  Santa & Mrs. Clause give out gifts to each child.  We also give away 80 $40 food basket gift certs."""
Plainfield,Indiana,Holidays,Santa Pictures,"""We take Santa Pictures over the holiday season, with all of the proceeds going to Riley Hospital for Children"""
Madison West,Wisconsin-Upper Michigan,Holidays,ChristmasPageant,"""The Christmas Pageant is annual event at the Wisconsin State Capitol when Madison Area High School volunteers perform holiday songs. Madison West Kiwanians setup the stages and make a arrangements with Capitol maintenance security. Kiwanians and SLP students usher the guests. """
"Cainta Vista Verde, Cainta, Rizal",Philippine Luzon,Holidays,Pamaskong Handog,"""Christmas Gift for the less fortunate family"""
Mercer Island,Pacific Northwest,Holidays,Selling legal and safe 4th of July Fireworks,"""Our club partners with the Kiwanis Club of Seattle, KCCP-S to sell legal fireworks at a TNT fireworks stand to raise money for our club's service projects and donations through out the year. """
Orange,Texas-Oklahoma,Holidays,Orange TX Christmas Parade,"""On the first Saturday of December, Kiwanis of Orange County hosts a Christmas Parade for the county.  Parade Route is located in downtown Orange and is the premier event of Christmas kickoff in Orange County.  All families are invited to attend! """
Amarillo,Texas-Oklahoma,Holidays,Flag Service,"""A United States flag is placed in the front yards of subscriber’s five holidays per calendar year.  For a $45 annual fee, a Kiwanian will drill a hole in the subscriber’s yard for a 12” PVC pipe to be buried in order to hold the flag on a 10’ pole."""
"Ahwatukee, Phoenix",Southwest,Holidays,Easter Parade & Spring Festival,"""This is a 75+ entry parade that travels one mile up a major street in the community on Easter Saturday. Following the parade is a Spring Festival for families with an entertainment stage, vendor booths, bounce houses, games, and food trucks, https://ahwatukeeeasterparade.com"""
East Meadow,New York,Holidays,East Meadow Senior Citizens/ MilitaryThanksgiving Dinner,"""We partner with the East Meadow HS Key Club to provide a full Thanksgiving Dinner to our Senior Citizens, and Military families.  We were more than happy to serve these deserving community members. a full Thanksgiving dinner.  In total over 500 meals are served """
Springfield,Kentucky-Tennessee,Holidays,Kiwanis for Kids,"""Provide Christmas gifts for more than 400 Springfield-area children whose families are in need of help for the holidays. """
Northside Naples,Florida,Holidays,Christmas In Immokalee,"""Christmas in Immokalee is a service project that has been held each of the past 35 years on Christmas day-in the town of Immokalee.  Families are provided food, Christmas presents presented by Santa for the children, along with other holiday related activities."""
Clermont,Florida,Holidays,Light Up Center Lake,"""A community sponsored service project. """
Malta-Mc Connelsville,Ohio,Holidays,Santa House and Train,"""The club operates a Santa House along with a small train (weather permitting) at The Commons in McConnelsville for a few hours on Saturdays during the Christmas holiday season (early to mid Dec.). This project brings great joy to children and their families in the community."""
Geneseo,Illinois-Eastern Iowa,Holidays,Pork in the Park,"""Our annual 4th of July Pork chop luncheon is our biggest fundraiser. The day features the Aisle of Flags with over 900 deceased veteran flags lining the sidewalks and the Maple City Band with 90 members playing an afternoon patriotic concert. 1500 sandwiches are served by Kiwanis"""
Lake Region (The)-Keystone Heights-Melrose,Florida,Holidays,CLAUS Mission,"""Santa is alive and well in our community. He and the elves respond to letters to Santa, ensure families needs are met through gift giving. Santa spends quality time with each and every child throughout his travels."""
Tulare,California-Nevada-Hawaii,Holidays,3rd of July ,"""We organize a fireworks show for the community every year on the 3rd of July"""
Copperhill,Kentucky-Tennessee,Holidays,President,"""Annual (66th) Christmas parade"""
"Mount Franklin, El Paso",Southwest,Holidays,Flag Service,"""place 300 US flags on 5 flag raising holidays in residential area of town, including 3 parks with donations dedicated serving youth in El Paso in various local charitable organizations. Last year donations exceeded $11000"""
Sunset Fountain Hills,Southwest,Holidays,Adopt A Family,"""We adopt families for the Holdays and provide gifts, clothes, food and shoes"""
Fountain Hills,Southwest,Holidays,Breakfast with Santa,"""An annual tradition, Breakfast with Santa is held at the local Community Center. Families and other guests enjoy a breakfast, craft activities, entertainment, singing and, of course, a visit with the Jolly Old Elf himself."""
Petitcodiac,Eastern Canada and the Caribbean,Holidays,Christmas turkey supper,"""The club give a free turkey dinner to seniors in our area delivered or pickup"""
Goldendale,Pacific Northwest,Holidays,American Flags,"""Our club supplies and displays American flags throughout the city of Goldendale each month in recognition of a holiday or significant event."""
Crofton,Capital,Holidays,Flags for Heroes,"""The club puts up flags on Rt. 3 in Crofton MD for Veterans & Memorial Day"""
Brooksville,Florida,Holidays,Brooksville Christmas Parade,"""Our club hosts the annual Brooksville Kiwanis Christmas Parade on the second Saturday of December every year."""
Sycamore,Illinois-Eastern Iowa,Holidays,Flag Project,"""Our club will be selling a flag subscription service where the club will install American flags on each of 5 federal holidays.  The flags will be installed in the early morning of each holiday and removed at the end of the day."""
Orcutt,California-Nevada-Hawaii,Holidays,Old Town St. Patrick's Day Parade,"""The Old Town St. Patrick’s Day Parade was created to provide the people of the Central Coast with a family-oriented, community event to help attract visits to the Old Town Orcutt merchant district. Since the revitalization of Old Town over the past decade, the parade hopes to &"""
Plant City,Florida,Holidays,Christmas For An Angel,"""17 local school. Christmas present cards sent out to local business. Collecting and handing out over 1000 presents to children in need."""
Brooklet,Georgia,Holidays,Christmas Eve Community Breakfast,"""Has a free breakfast, donations only, for the entire community.  The proceeds of this event go toward giving 12-15 gift cards to needy children identified by the local schools."""
Killeen,Texas-Oklahoma,Holidays,Santa Pal,"""Gifts and food basket for area families"""
Davie and West Hollywood,Florida,Holidays,Holiday Party at Davie Elementary,"""In the spirit of the season, our Key Club volunteers worked alongside the Kiwanis Club of Davie & West Hollywood to collect and wrap gifts that were distributed to more than 80 low income families at Davie Elementary School's holiday party back in December. Every family received """
Lincoln City,Pacific Northwest,Holidays,Parade of Flags,"""We line our main street (Highway 101) with US and military flags on flag holidays.  Businesses and individuals pay an annual subscription and this is our club's main fundraiser."""
Bentonville,Missouri-Arkansas,Holidays,Food Basket Giveaway,"""Every Christmas Eve for the last 61 years, our club has given food to needy families in Bentonville. We have given out at least 500 boxes with enough food for a great holiday meal each of the last 4 years."""
Charles Town,Capital,Holidays,Santa's Toy Shop,"""Each year the Toy Shop provides over 600 children between the ages of birth and 16 with toys, books, and stocking stuffers for Christmas morning."""
Huntington Beach,California-Nevada-Hawaii,Holidays,Kiwanis Family Fun Day,"""This is the largest event of the year with thousands attending.  It includes a children's egg hunt, many booths, live entertainment and Easter Egg Hunt for blind kids with the Braille Institute. This is Lt. Governor Shawn Wood home club."""
Maumee,Ohio,Holidays,Holiday Community Movie Night,"""We provide a free movie for the community to come and enjoy and get a free popcorn and raffle prizes."""
Manteca,California-Nevada-Hawaii,Holidays,City of Manteca Easter Egg Hunt,"""Annually on Easter Saturday, the Kiwanis Club of Manteca hosts the city's  Easter Egg Hunt which is free to all children ages 2-10.  Scattered in Northgate Softball Park, for 3 age groups, are 8,000 candy-filled plastic eggs.  After the hunt is a free raffle of baskets & bicycles"""
Berlin,Wisconsin-Upper Michigan,Holidays,Christmas Dinner,"""We serve a free all you can eat Turkey dinner with all of the trimmings for anyone who wants to attend on Christmas Day. We also deliver to those who can not make it to the dinner. We have been doing this for 38 years now."""
Carthage,Illinois-Eastern Iowa,Holidays,Toy Share Drive,""" Kiwanis Toy Share Drive is held annually to assist families with providing gifts for their children ages 0-18.  Families attend the ""shopping"" event and are provided a personal Kiwanis shopper who aids the families with choosing gifts appropriate for each child. """
Lake Havasu City,Southwest,Holidays,Toys for Tots,"""We have events and raise money for our local children to make sure they all have a nice Christmas."""
Rock Springs,Rocky Mountain,Holidays,Shop with a Cop,"""We work with the civil servants and 35 kids who might not get a Christmas.  The Officers take them Christmas shopping at our local Wal-Mart with a Gift Card provided by Kiwanis Club of Rock Springs.  CKI, Key Club and other community members assist with giftwrapping."""
Levittown-Bristol,Pennsylvania,Holidays,Give A Christmas,"""We provide $35. vouchers to be used for food, clothing, books and gifts during the December Holidays.  We work with local schools to identify children in need and provide voucher for the children in those families. Vouchers can be used at certain grocery, department & book stores"""
Washington A.M.Ers,Nebraska-Iowa,Holidays,Sleigh Bell and Smiles,"""Purchase gifts for the children and collect food for Christmas Meal for neady families in Washington County Area. """
Marina,California-Nevada-Hawaii,Holidays,Bunny Breakfast,"""For over 20 years the Kiwanis Club of Marina has coordinated a free breakfast for all children and their parents in the city of Marina the day before Easter. We serve a full breakfast and give away stuffed animals. In partnership with The Marina Arts Council, Marina Lions, Marina"""
Middletown,New York,Holidays,Holiday Children's Parties,"""Since 1928 the Kiwanisn Club of Middletown has provided for a holiday party for the Middletown Day Nursery.  We have since added parties for the Headstart Program and the ABCD School as well.  Santa and his elves go to the schools and hand out gifts to each of the children."""
Medford,New England and Bermuda,Holidays,Children Christmas Wishing Tree,"""We grant the wishes of the children. We light our tree in the square with Globe Santa and Children visit Santa."""
Blair,Nebraska-Iowa,Holidays,Halloween Party,"""Every year we host a Halloween Party for the children of Blair. We have been able to make this event free for everyone. This is our signature project, and we are proud to provide this safe alternative for the children in our community to enjoy this holiday. """
Petoskey,Michigan,Holidays,USA Flag Project,"""We put out USA Flags at community member's homes and businesses five times a year. It's beautiful when driving down Mitchell Street to see over 40 flags waving and throughout Petoskey. . """
Woodlake,California-Nevada-Hawaii,Holidays,July 3rd Blast,"""For the past twenty years, Kiwanis of Woodlake has hosted the July 3rd Blast celebration in Woodlake, CA that the whole family could enjoy, contributing to the health of the community. Many have said that they can feel the warmth and collaboration of the Woodlake community, makin"""
Walker,Louisiana-Mississippi-West Tennessee,Holidays,Holiday Family Dinners,"""In the month of December each year we provide a Holiday dinner for local families in need. We work closely with another non-profit, The Family Village, DCFS, and our local schools to identify the families that are in the most need of help during the Holidays."""
Habersham County,Georgia,Holidays,Toys for Kids,"""We provide toys to over 600 children each year in Habersham County.  We raise around $8,000-10,000 each year.  We also provide distribution to the family of the children.  We have been providing this project for over 20 years."""
Lawrenceville,Georgia,Holidays,Santa’s Helpers,"""Provide Christmas party, with gifts, for at least 150 children registered with DFACS in Gwinnett county."""
El Paso,Illinois-Eastern Iowa,Holidays,El Paso Kiwanis Brotherhood Tree,"""Our club provides food baskets and gifts for families in the El Paso area for the Christmas season."""
Arvada-Jefferson,Rocky Mountain,Holidays,Santa House,"""Holiday gifts for children in need in our community."""
New Orleans,Louisiana-Mississippi-West Tennessee,Holidays,Ween Dream,"""Ween Dream allows children to explore the world of imagination through costuming.  Families can apply for costumes for Halloween and Ween Dream makes these wishes come true!"""
Claremont,New England and Bermuda,Holidays,Claremont Kiwanis Cares,"""gifting Christmas gifts and clothing for local children"""
Poway,California-Nevada-Hawaii,Holidays,Holiday With Heroes,"""Each December our club pairs uniformed heroes with underserved elementary school children to shop for their families with a gift card provided by our club.  They also receive blankets, socks, hats, etc.  The do arts/crafts, see Santa, eat dinner and play games with their Hero."""
Newark,New York,Holidays,ABC Daycare Center Christmas,"""We provide Christmas boxes for between 30 and 40 children 0-5 years.  Boxes contain stuffed animals, hats, mittens, coloring books, crayons, playdoh, dolls, cars, balls, etc."""
Dinuba,California-Nevada-Hawaii,Holidays,Americn Flags on holidays,"""On all legal and local holidays we place 100+ American flags on light poles in an eight block-radius of the downtown area.  If there is a parade with the holiday, we also place flags along the parade route."""
Grantville-Allied Gardens,California-Nevada-Hawaii,Holidays,Flags on Waring,"""On every patriotic holiday, we place American flags all along our main street. We have done this for over 50 years!"""
Cleburne,Texas-Oklahoma,Holidays,Breakfast with Santa,"""First Saturday in December the club sponsors a morning pancake breakfast with all the trimmings. Santa is there and parents can take pictures of their children.Camp Fire  provides a Christmas Shop where children can make or purchase presents for their parents or  family. """
Portland,New England and Bermuda,Holidays,Gift bags,"""we give about 150 gift bags out to needy senior housing/veterans on holidays and also do an annual christmas dinner for the seniors in the area"""
Sayville,New York,Holidays,Halloween Window Painting,"""Provide materials for local Middle School and High School students to paint Halloween scenes in the windows of local businesses."""
Hampstead,Carolinas,Holidays,Hampstead Kiwanis Park,"""KCoH partnered with Pender County Parks & Recreation to design, build and maintain the beautiful 82 acre Hampstead Kiwanis Park and we sponsor free community events in the park including Annual Easter Egg Hunt, Annual Trick or Treat in HKP and Annual Turkey Trot Family Race."""
Litchfield,Southwest,Holidays,Special Needs Christmas ,"""Our club has assisted the special needs population of students in the Litchfield Elementary School District. Plan to increase to other districts. Seeing Santa can be a very scary thing for a mainstream student. We make the atmosphere fun and include all of our SLP's."""
Wyoming Area,Pennsylvania,Holidays,Breakfast with Santa,"""Our event is to help bring kids and families together to enjoy a breakfast and to meet Santa and get their picture taken. Our Service Leadership Members are all involved with doing ornaments for the trees, making crafts with the kids or serving the families their meal that day."""
Mount Vernon,Indiana,Holidays,Kiwanis Christmas,"""We sponsor over 50 children for Christmas each year. We purchase gifts with a budget of up to $75 per child. The children are selected by local agencies and clergy organizations. We shop at Kohls and hour before the store opens and they give us a very generous discount. """
Saint Helens,Pacific Northwest,Holidays,Holiday Hope,"""Holiday Hope Christmas Baskets. Purchase food and food vouchers for needy families. We also include the Toy and Joy Program.  """
Siskiyous (The),Pacific Northwest,Holidays,Easter Egg Hunt,"""Childrens easter egg hunt held the Saturday before Easter, servicing children ages 0 to 12. """
Humboldt-Dakota City,Nebraska-Iowa,Holidays,Kiwanis Christmasland ,"""This a community attraction geared to being a fun holiday location for young and old. It is open between Thanksgiving and Christmas Eve and features many animated displays an operating toy train and a visit from Santa and a candy cane."""
Harrodsburg,Kentucky-Tennessee,Holidays,Community Easter Egg Hunt,"""We sponsor an Easter egg hunt for all the children of the community. We give candy and prizes to the children and offer an opportunity for them to take pictures with the Easter Bunny. We are all inclusive and have a special area for those with special needs and give sensory prize"""
Victorville,California-Nevada-Hawaii,Holidays,Victorville Christmas Parade,"""The Victorville Kiwanis Club in collaboration with the City of Victorville host an annual Christmas Parade on the first Saturday of December.  Each year hundreds of residents come to view the bands, civic floats, business floats, car clubs and dignitaries."""
Northshore Mandeville,Louisiana-Mississippi-West Tennessee,Holidays,Pancakes with Santa,"""Our annual ""Pancakes with Santa"" breakfast event continues growing each year, serving over 500 breakfasts'.  Some of our activities include; bounce houses, fire trucks, reading & coloring corners. The highlight of course is a photo with Santa!"""
"Colonial Capital, Williamsburg",Capital,Holidays,Can Shaking,"""Members stand in front of Dept Stores with a can and receive donations"""
Walnut Ridge,Missouri-Arkansas,Holidays,Christmas Party for Cooperative School,"""Our club hosts an annual Christmas Party for the Lawrence County Cooperative School.  We purchase gifts for each adult who attends the school and/or reside there.  Santa Claus pays a visit and gives a gift to each one."""
Great Bend,Kansas,Holidays,Flag Project/Play Equipment,"""We have kicked off a Flag project in 2020 and will place flags around town at 5 major Holidays in addition to adding more playground equipment in our parks."""
Parsons,Kansas,Holidays,Oak Cottage Birthday Party,"""Parsons Kiwanis has held a monthly birthday party and annual Christmas party for the residents of one of the cottages at PSH&TC since 1988. The residents with birthdays are given presents and are the guests of honor with cake, ice cream and singing enjoyed by all!"""
Sandy,Pacific Northwest,Holidays,Christmas Baskets,"""Provide food, presents for the holidays.  2 week project. """
South Eleuthera,Eastern Canada and the Caribbean,Holidays,"""No Child Without Christmas""",""" Our clubs Signature Project is now Golden. 52 years of serving the Children in South Eleuthera. Through the global pandemic we were still able to put a smile on 675 children in a drive-through community event of giving Toys and Treat bags. Service above Self."""
Greater Randolph Area,Texas-Oklahoma,Holidays,Christmas buying spree for area children,"""At Christmas we take 20 to 25 children on a shopping spree.  We give them 100.00 (more if we have the funds) and let them buy what they want.  Our Key Clubs help with the kids.   We also provide up to 10 families with a $150.00 food basket.  Each family child gets  a present."""
Powell County,Kentucky-Tennessee,Holidays,Kiwanis Parade of Lights,"""Extensive display throughout Main Street of Christmas Light Displays"""
"Carrollwood, Tampa",Florida,Holidays,Annual Christmas party for Title One elementary children,"""Our club makes Christmas merrier for Title One elementary school children with a party, special gifts, a visit with Santa and take-home treats."""
"Tri-County, Western New York",New York,Holidays,Halloween Party,"""Partnering with other Community Groups throw and all age Halloween Party on Halloween Night."""
Olympia Area-Minier (The),Illinois-Eastern Iowa,Holidays,Corn Daze,"""There are two Signature Projects: Corn Daze which is a town festival always held on the first weekend of August. The Minier Christmas Parade is the first Saturday of December. It's one of the longest-running Christmas Parades in Illinois."""
Monument Hill,Rocky Mountain,Holidays,4th of July Parade,"""MHKC plans and executes the Monument 4th Of July Parade which draws tens of thousands of people from all over Colorado. Coordinating with the town of Monument, the police, and recruiting parade participants and executing the parade takes hundreds volunteer hours by our club membe"""
Greater Highland Park,California-Nevada-Hawaii,Holidays,Annual Christmas Parade,"""Bringing together kids of all ages and adults to parade in the Annual Christmas Parade. We focus on the ""Formation Area and send off "" for the event."""
Weeki Wachee,Florida,Holidays,Polar Exprerss,"""Each December we host a Christmas Party for disadventage kids in Hernando County Florida.  This is a private event by invitation only.  The youth have a day of fun with the highlight of meeting Santa and receiving a Christmas gift.  They also have lunch and a train ride."""
Coastal Valley Cyber,California-Nevada-Hawaii,Holidays,Teal Pumpkin Project,"""Educating parents of health dangers of candy at Halloween. We provide information about child reactions to certain foods in sweets, health dangers and alternatives. Posters and suggestions for low cost items to substitute for candy will be supplied to families"""
Gardner,Kansas,Holidays,US Flag Project,"""Placing flags at homes and businesses on 5 holidays"""
Dixon,California-Nevada-Hawaii,Holidays,Festival of Trees,"""30 artificial trees beautifully decorated by volunteers are displayed on a Saturday in Dec annually for silent auction. Local Youth Musical and Dance Troupes provide entertainment. Trees are sponsored by local businesses & individuals. Snacks/Beverages provided. Free to attend."""
Tierra Nevada,Philippine Luzon,Holidays,Isang Daang Ngiti sa Isang Daang Batang Munti,"""The club’s annual project, ""Isang Daang Ngiti sa Isang Daang Batang Munti"" (One Hundred Smiles for One Hundred Little Children), focuses on spreading joy and love to underprivileged children during the holiday season. This project involves preparing personalized shoe box gifts."""
Crest,California-Nevada-Hawaii,Holidays,Santa at Crest,"""breakfast with Santa and children"""
Edison,New Jersey,Holidays,Holiday Toy Drive,"""We partner with Woodbridge Metro Chamber of Commerce and Team Rudd to distribute boxes and collect toys from local businesses.  Everything collected goes to Middlesex County Department of Child Protection and Permanency"""
Westfield,Indiana,Holidays,Avenue of Flags,"""3' by 5' flags on 10' poles placed in residents front yards to honor service men and women and vets on 5 patriotic holidays. Cost $60 per year."""
Kapis Nightingales,Southern Philippine,Holidays,Annual Christmas Gift Giving,"""Every December since our club was chartered, we choose a community where we will conduct our program. Our club collaborates with the local Barangay officer beforehand to select a number of children to join the activity which includes games, food, gift giving, and health education"""
Petrolia and Area,Eastern Canada and the Caribbean,Holidays,Firey Faces,"""Firey Faces is an event that one of our new members brought to our club. For four nights there is a lit pumpkin display set up for public viewing. Pumpkins come from a community carving night and a children's carving/fun day.  All events are free."""
Caribbean Emerging Leaders Jamaica,Eastern Canada and the Caribbean,Holidays,Christmas Tree Decoration and Christmas gift Drive ,"""Kiwanis club of Caribbean emerging leaders donated over 30 gifts to the Children’s Ward of the Queen Elizabeth Hospital in Barbados as well as light a Christmas Tee within the hospital"""
Okotoks,Western Canada,Holidays,Christmas Toy Project,"""Kids that would not get a Christmas have an opportunity to shop for their very own gift at Christmas one Sunday morning In Early Dec each year.  Presently we are supporting 150 Kids which we expect to grow each year.    """
Greater Rockaway,New Jersey,Holidays,Preschool Holiday Toy Drive,"""	Working together with the community, 400 toys were collected and donated to children in the Dover and Rockaway area. Most recipients were of preschool age."""
"Berry Islands, The",Eastern Canada and the Caribbean,Holidays,Senior Citizens Dinner ,"""Every year during Thanksgiving Kiwanis Club of the Berry Islands pays tribute to ""Our Gems"" (Senior Citizens) who have paved the way for a brighter future for generations to come.  """
Fayetteville/Greater Atlanta,Georgia,Holidays,Christmas Shopping with Kiwanis,"""Annually In December we invite underprivledged children from fayette county elementary schools to go shopping at walmart. We have partnered with the schools and walmart to provide this community service. Each child is paired with a kiwanian and given a $100 budget for shopping."""
Airway Heights,Pacific Northwest,Holidays,Community Events,"""The Airway Heights Kiwanis Club works to serve the children and families in the community through active participation and support of various community events: Sunset Park Egg Hunt, Airway Heights Days Watermelon Races, Trunk or Treat, and Breakfast with Santa. """
Trade Leaders Aruba,Eastern Canada and the Caribbean,Holidays,Christmas-In-a-box,"""Kiwanis Young Professionals Aruba (KYPA) - Christmas in a Box Project is a Service Project that started in 2011 with the idea to make a difference for families in need through a box with primary and basic goods. KYPA members went door to door with an empty shoeboxes to collect ca"""
CyberConnect Jamaica,Eastern Canada and the Caribbean,Holidays,Kiwanis Christmas Cheer - Kiwanis Brings Christmas Cheer to over 3700 children at Bustamante Hospital for Children,"""Members along with SLPs set up and decorated two (2) Christmas trees in the Accident and Emergency and Oncology wards, hung decorations at the nurses’ station as well as handover and distribute toys and books to the kids who spent Christmas day in hospital. """
Fishers,Indiana,Holidays,Annual Easter Egg Hunt,"""Over 8,000 plastic eggs are stuffed with candy and prizes and distributes throughout Holland Park for the annual egg hunt.  Fishers High School Key Club members work with the Fishers Kiwanis Club to make sure the children enjoy pictures with the Bunny, and find their age groups."""
Roseña-Santa Rosa City,Philippine Luzon,Holidays,Share-a-toy; Share-a-Joy,"""This is an annual activity of the club of giving out Christmas gifts to kids around the city to instill in their hearts the spirit of giving and the joy of receiving simple but thoughtful gifts during Christmas Season."""
